Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Replicape_B3.brd" as of: 07.10.15 20:57
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C86,Top,2.283,1.553,180
C87,Top,2.795,1.535,180
C88,Top,3.313,1.530,180
D1,Top,0.379,1.248,270
D2,Top,0.389,1.880,270
D3,Top,0.389,2.569,270
D4,Top,3.808,2.056,90
D5,Top,0.579,0.445,270
D6,Top,3.118,1.974,90
FAN0,Top,2.844,0.211,180
IC1,Top,0.990,1.132,180
IC2,Top,1.535,1.132,180
IC3,Top,1.219,1.362,270
IC4,Top,1.219,1.451,270
IC5,Top,2.069,1.134,180
IC6,Top,2.711,1.902,0
IC7,Top,2.699,2.081,0
IC8,Top,1.778,1.356,270
IC9,Top,1.778,1.453,270
IC10,Top,2.281,1.392,270
IC11,Top,2.278,1.478,270
IC12,Top,2.567,1.134,180
IC13,Top,2.797,1.372,270
IC14,Top,2.795,1.461,270
IC15,Top,3.089,1.134,180
IC16,Top,3.313,1.372,270
IC17,Top,3.313,1.459,270
IC18,Top,1.171,1.622,180
IC19,Top,2.768,1.638,180
JP1,Top,1.032,2.532,0
JP2,Top,3.854,0.789,0
L1,Top,3.362,2.010,0
L2,Top,4.048,2.104,0
LED1,Top,0.438,2.146,90
LED2,Top,0.433,1.462,90
LED3,Top,0.453,0.901,90
LED4,Top,4.144,1.689,270
LED5,Top,3.121,0.204,180
LED6,Top,3.403,0.221,180
LED7,Top,3.675,0.221,180
LED8,Top,0.456,0.039,90
Q1,Top,0.413,1.639,180
Q2,Top,0.419,2.343,180
Q3,Top,0.413,1.029,180
Q4,Top,3.571,0.417,0
Q5,Top,3.797,0.421,0
Q6,Top,3.569,0.616,0
Q7,Top,3.805,0.612,0
R1,Top,1.039,1.338,180
R2,Top,1.002,0.902,90
R3,Top,1.587,1.336,180
R4,Top,1.549,0.902,90
R5,Top,3.707,0.406,90
R6,Top,1.323,1.417,90
R7,Top,2.124,1.338,180
R8,Top,2.087,0.902,90
R9,Top,3.138,1.338,180
R10,Top,3.100,0.902,90
R11,Top,4.030,1.689,180
R12,Top,3.002,2.179,180
R13,Top,1.515,2.153,270
R14,Top,0.438,2.092,180
R15,Top,0.463,0.851,180
R16,Top,0.445,1.413,180
R17,Top,1.722,2.151,270
R18,Top,1.880,2.151,270
R19,Top,3.076,0.208,270
R20,Top,3.354,0.225,270
R21,Top,3.630,0.225,270
R22,Top,3.002,2.130,0
R23,Top,1.451,1.929,270
R24,Top,1.344,1.346,180
R25,Top,2.803,0.215,270
R26,Top,2.872,2.136,270
R27,Top,1.870,1.406,90
R28,Top,1.894,1.335,180
R29,Top,2.616,1.338,180
R30,Top,2.577,0.902,90
R31,Top,2.925,1.567,0
R32,Top,3.484,0.394,90
R33,Top,3.709,0.596,90
R34,Top,3.467,0.616,90
R35,Top,2.388,1.421,90
R36,Top,2.398,1.339,180
R37,Top,1.348,1.567,0
R38,Top,1.574,2.153,270
R39,Top,1.677,2.151,270
R40,Top,1.928,2.153,270
R41,Top,0.791,1.565,0
R42,Top,3.696,2.248,180
R43,Top,3.696,2.204,0
R44,Top,3.564,2.231,270
R45,Top,0.326,0.040,0
R46,Top,0.540,1.820,180
R47,Top,0.530,1.312,270
R48,Top,0.690,2.314,90
R49,Top,0.768,1.417,90
R50,Top,2.906,1.417,90
R51,Top,2.931,1.335,180
R52,Top,2.911,1.096,0
R53,Top,0.813,1.096,0
R54,Top,0.844,1.285,180
R55,Top,0.374,0.877,270
R56,Top,0.344,1.476,270
R57,Top,0.344,2.170,270
R58,Top,1.896,1.549,0
R59,Top,1.350,1.096,0
R60,Top,2.392,1.567,0
R61,Top,1.898,2.478,0
R62,Top,2.215,2.480,0
R63,Top,2.535,2.472,0
R64,Top,2.864,2.465,0
R65,Top,3.179,2.459,0
R66,Top,3.504,2.459,0
R70,Top,1.892,1.096,0
R71,Top,2.390,1.096,0
U1,Top,0.996,1.614,90
U2,Top,1.531,1.606,90
U3,Top,2.065,1.616,90
U4,Top,2.565,1.614,90
U5,Top,3.085,1.602,90
U6,Top,2.957,1.972,0
U10,Top,3.649,2.052,0
U11,Top,0.929,2.004,270
U18,Top,1.322,2.008,270
U19,Top,2.386,1.994,90
